"Year","Birth_Count","Death_Count","Population","Male_Pop","Female_pop","Immigration_Count","Birth_rate","Death_rate"
1839,492574,338984,15514255,7586593,7927662,0,0.032,0.022
1840,502303,359687,15730813,7689301,8041512,0,0.032,0.023
1841,512158,343847,15929492,7784883,8144609,0,0.032,0.022
1842,517739,349519,16130326,7887620,8242706,0,0.032,0.022
1843,527325,346445,16332228,7990370,8341858,0,0.032,0.021
1844,540763,356933,16535174,8093100,8442074,0,0.033,0.022
1845,543521,349366,16739136,8195776,8543360,0,0.032,0.021
1846,572625,390315,16944092,8298360,8645732,0,0.034,0.023
1847,539965,423304,17150018,8400820,8749198,0,0.031,0.025
1848,563059,399833,17356882,8503116,8853766,0,0.032,0.023
1849,578159,440839,17564656,8605212,8959444,0,0.033,0.025
1850,593422,368995,17773324,8707074,9066250,0,0.033,0.021
1851,615865,395396,17982849,8808662,9174187,0,0.034,0.022
1852,624012,407135,18193206,8909938,9283268,0,0.034,0.022
1853,612391,421097,18404368,9010866,9393502,0,0.033,0.023
1854,634405,437905,18616310,9111410,9504900,0,0.034,0.024
1855,635043,425703,18829000,9211528,9617472,0,0.034,0.023
1856,657453,390506,19043412,9311182,9732230,0,0.035,0.021
1857,663071,419815,19256516,9410334,9846182,0,0.034,0.022
1858,655481,449656,19471291,9508949,9962342,0,0.034,0.023
1859,689881,440781,19686701,9606982,10079719,0,0.035,0.022
1860,684048,422721,19902713,9704394,10198319,0,0.034,0.021
1861,696406,435114,20119314,9801152,10318162,0,0.035,0.022
1862,712684,436566,20371013,9923272,10447741,0,0.035,0.021
1863,727417,473837,20625855,10046909,10578946,0,0.035,0.023
1864,740275,495531,20883889,10172089,10711800,0,0.035,0.024
1865,748069,490909,21145151,10298826,10846325,0,0.035,0.023
1866,753870,500689,21409684,10427146,10982538,0,0.035,0.023
1867,768349,471073,21677525,10557066,11120459,0,0.035,0.022
1868,786858,480622,21948713,10688600,11260113,0,0.036,0.022
1869,773381,494828,22223299,10821775,11401524,0,0.035,0.022
1870,792787,514902,22501316,10956608,11544708,0,0.035,0.023
1871,797428,514879,22788466,11086869,11701597,0,0.035,0.023
1872,825907,492265,23096500,11242500,11854000,0,0.036,0.021
1873,829778,492520,23408600,11394400,12014200,0,0.035,0.021
1874,854956,526632,23724800,11548300,12176500,0,0.036,0.022
1875,850607,546453,24045400,11704400,12341000,0,0.035,0.023
1876,887968,510315,24370300,11862500,12507700,0,0.036,0.021
1877,888200,500496,24699500,12022800,12676700,0,0.036,0.02
1878,891906,539872,25033300,12185200,12848000,0,0.036,0.022
1879,880389,526255,25371500,12349900,13021600,0,0.035,0.021
1880,881643,528624,25714300,12516700,13197600,0,0.034,0.021
1881,883642,491935,26046100,12673400,13372700,0,0.034,0.019
1882,889014,516654,26334900,12808500,13526500,0,0.034,0.02
1883,890722,522997,26626900,12944900,13682000,0,0.033,0.02
1884,906750,530828,26922200,13082800,13839400,0,0.034,0.02
1885,894270,522750,27220700,13222200,13998500,0,0.033,0.019
1886,903760,537276,27522500,13363100,14159500,0,0.033,0.02
1887,886331,530758,27827700,13505400,14322300,0,0.032,0.019
1888,879868,510971,28136300,13649300,14486900,0,0.031,0.018
1889,885944,518353,28448200,13794700,14653500,0,0.031,0.018
1890,869937,562248,28763700,13941700,14822000,0,0.03,0.02
1891,914157,587925,29085800,14092500,14993300,0,0.031,0.02
1892,897957,559684,29421400,14252200,15169200,0,0.031,0.019
1893,914572,569958,29760800,14413700,15347200,0,0.031,0.019
1894,890289,498827,30104200,14576900,15527300,0,0.03,0.017
1895,922291,568997,30451500,14742100,15709400,0,0.03,0.019
1896,915331,526727,30802900,14909100,15893800,0,0.03,0.017
1897,921683,541487,31158200,15078000,16080200,0,0.03,0.017
1898,923165,552141,31517700,15248800,16268900,0,0.029,0.018
1899,928646,581799,31881400,15421600,16459800,0,0.029,0.018
1900,927062,587830,32249200,15596300,16652900,0,0.029,0.018
1901,929807,551585,32612000,15769400,16842600,0,0.029,0.017
1902,940509,535538,32950900,15933700,17017300,0,0.029,0.016
1903,948271,514628,33293300,16099600,17193700,0,0.028,0.015
1904,945389,549784,33639300,16267300,17372000,0,0.028,0.016
1905,929293,520031,33988800,16436700,17552100,0,0.027,0.015
1906,935081,531281,34342000,16607900,17734200,0,0.027,0.015
1907,918042,524221,34698900,16780800,17918100,0,0.026,0.015
1908,940383,520456,35059500,16955600,18103900,0,0.027,0.015
1909,914472,518003,35423800,17132200,18291600,0,0.026,0.015
1910,896962,483247,35791900,17310600,18481300,0,0.025,0.014
1911,881138,527810,36136000,17476000,18660000,0,0.024,0.015
1912,872737,486939,36327000,17576000,18751000,0,0.024,0.013
1913,881890,504975,36574000,17693000,18881000,0,0.024,0.014
1914,879096,516742,36967000,17893000,19074000,0,0.024,0.014
1915,814614,562253,35284000,16009000,19275000,0,0.023,0.016
1916,785520,508217,34642000,15226000,19416000,0,0.023,0.015
1917,668346,498922,34197000,14665000,19532000,0,0.02,0.015
1918,662661,611861,34024000,14436000,19588000,0,0.019,0.018
1919,692438,504203,36800000,17180700,19619300,0,0.019,0.014
1920,957782,466130,37524000,17866000,19658000,0,0.026,0.012
1921,848814,458629,37932000,18098000,19834000,0,0.022,0.012
1922,780124,486780,38205000,18249000,19956000,0,0.02,0.013
1923,758131,444785,38449000,18366000,20083000,0,0.02,0.012
1924,729933,473235,38795000,18571000,20224000,0,0.019,0.012
1925,710582,472841,38935000,18625000,20310000,0,0.018,0.012
1926,694563,453804,39114000,18722000,20392000,0,0.018,0.012
1927,654172,484609,39286000,18802000,20484000,0,0.017,0.012
1928,660267,460389,39483000,18897000,20586000,0,0.017,0.012
1929,643673,532492,39600000,18961000,20639000,0,0.016,0.013
1930,648811,455427,39801000,19072000,20729000,0,0.016,0.011
1931,632081,491630,39988000,19160000,20828000,0,0.016,0.012
1932,613972,484129,40201000,19280000,20921000,0,0.015,0.012
1933,580413,496465,40350000,19357000,20993000,0,0.014,0.012
1934,597642,476810,40467000,19412000,21055000,0,0.015,0.012
1935,598756,477401,40645000,19500000,21145000,0,0.015,0.012
1936,605292,495764,40839000,19591000,21248000,0,0.015,0.012
1937,610557,509574,41031000,19705000,21326000,0,0.015,0.012
1938,621204,478996,41215000,19792000,21423000,0,0.015,0.012
1939,614479,499902,41460000,19920000,21540000,0,0.015,0.012
1940,590120,581537,39889000,18243000,21646000,0,0.015,0.015
1941,579091,535180,38743000,17228000,21515000,0,0.015,0.014
1942,651503,480137,38243000,16802000,21441000,0,0.017,0.013
1943,684334,501412,37818000,16334000,21484000,0,0.018,0.013
1944,751478,492176,37785000,16188000,21597000,0,0.02,0.013
1945,679937,488108,37916000,16200000,21716000,0,0.018,0.013
1946,820719,492090,40759000,18780000,21979000,0,0.02,0.012
1947,881026,517615,41786000,19612000,22174000,0,0.021,0.012
1948,775306,469898,43296000,20888000,22408000,0,0.018,0.011
1949,730518,510736,43595000,21050000,22545000,0,0.017,0.012
1950,697097,510301,43830000,21169000,22661000,0,0.016,0.012
1951,677529,549380,43815000,21044000,22771000,0,0.015,0.013
1952,673735,497484,43955000,21110000,22845000,0,0.015,0.011
1953,684372,503529,44109000,21206000,22903000,0,0.016,0.011
1954,673651,501896,44274000,21288000,22986000,0,0.015,0.011
1955,667811,518864,44441000,21389000,23052000,0,0.015,0.012
1956,700335,521331,44667000,21517000,23150000,0,0.016,0.012
1957,723381,514870,44907000,21648000,23259000,0,0.016,0.011
1958,740715,526843,45109000,21744000,23365000,0,0.016,0.012
1959,748501,527651,45386000,21885000,23501000,0,0.016,0.012
1960,785005,526268,45775000,22097000,23678000,0,0.017,0.011
1961,811281,551752,46196200,22347000,23849200,0,0.018,0.012
1962,838736,557636,46657300,22631300,24026000,0,0.018,0.012
1963,854055,572868,46973100,22786700,24186400,0,0.018,0.012
1964,875972,534737,47324300,22978500,24345800,-60000,0.019,0.011
1965,862725,549379,47671400,23150700,24520700,-78000,0.018,0.012
1966,849823,563624,47966500,23295800,24670700,-82000,0.018,0.012
1967,832164,542516,48271900,23451100,24820800,-84000,0.017,0.011
1968,819272,576754,48510700,23553500,24957200,-56000,0.017,0.012
1969,797538,579378,48738000,23666200,25071800,-87000,0.016,0.012
1970,784486,575194,48891100,23738100,25153000,-65000,0.016,0.012
1971,783155,567262,49152000,23897000,25255000,-40000,0.016,0.012
1972,725440,591889,49327100,23988600,25338500,-11000,0.015,0.012
1973,675953,587478,49459000,24060500,25398500,-50000,0.014,0.012
1974,639885,585292,49467900,24074500,25393400,-85000,0.013,0.012
1975,603445,582841,49469800,24091400,25378400,-41000,0.012,0.012
1976,584270,598516,49459200,24089100,25370100,-19000,0.012,0.012
1977,569259,575928,49440400,24076200,25364200,-46000,0.012,0.012
1978,596418,585901,49442500,24067300,25375200,-5000,0.012,0.012
1979,638028,593019,49508200,24113100,25395100,6000,0.013,0.012
1980,656234,581385,49603000,24155500,25447500,-55000,0.013,0.012
1981,634492,577890,49634300,24160100,25474200,-79000,0.013,0.012
1982,625931,581861,49581626,24119499,25462127,-56000,0.013,0.012
1983,629134,579608,49616997,24133341,25483656,17000,0.013,0.012
1984,636818,566881,49713130,24184694,25528436,37000,0.013,0.011
1985,656417,590734,49860713,24254346,25606367,58000,0.013,0.012
1986,661018,581203,49998574,24311228,25687346,37000,0.013,0.012
1987,681511,566994,50122984,24370607,25752377,2000,0.014,0.011
1988,693577,571408,50253568,24433525,25820043,-21000,0.014,0.011
1989,687725,576872,50407826,24509732,25898094,44000,0.014,0.011
1990,706140,564846,50560628,24596790,25963838,36000,0.014,0.011
1991,699217,570044,50748033,24681337,26066696,44000,0.014,0.011
1992,689656,558313,50875647,24739461,26136186,-13000,0.014,0.011
1993,673467,578512,50985877,24792642,26193235,-1000,0.013,0.011
1994,664726,551780,51116228,24853043,26263185,77000,0.013,0.011
1995,648138,565902,51271978,24946334,26325644,76000,0.013,0.011
1996,649485,563007,51410433,25029777,26380656,55000,0.013,0.011
1997,643095,558052,51559648,25113194,26446454,48000,0.012,0.011
1998,635901,553435,51720104,25200700,26519404,140000,0.012,0.011
1999,621872,553532,51933471,25323441,26610030,163000,0.012,0.011
2000,604441,537877,52140181,25438046,26702135,158000,0.012,0.01
2001,594634,532498,52359978,25574258,26785720,171000,0.011,0.01
2002,596122,535356,52602143,25708118,26894025,153000,0.011,0.01
2003,621469,539151,52863238,25854109,27009129,148000,0.012,0.01
2004,639721,514250,53152022,26012115,27139907,245000,0.012,0.01
2005,645835,512993,53575343,26234398,27340945,206000,0.012,0.01
2006,669601,502599,53950854,26433350,27517504,198000,0.012,0.009
2007,690013,504052,54387392,26669068,27718324,233000,0.013,0.009
2008,708711,509090,54841720,26914321,27927399,163000,0.013,0.009
2009,706248,491348,55235253,27121680,28113573,229000,0.013,0.009
2010,723165,493242,55692423,27372737,28319686,256000,0.013,0.009
2011,723913,484367,56170927,27637637,28533290,249000,0.013,0.009
2012,729674,499331,56567796,27843384,28724412,161000,0.013,0.009
2013,698512,506790,56948229,28049196,28899033,208000,0.012,0.009
2014,695233,501424,57408654,28294511,29114143,309000,0.012,0.009
2015,697852,529655,57885413,28554847,29330566,329000,0.012,0.009
2016,696271,525048,58381217,28834958,29546259,252000,0.012,0.009
2017,679106,533253,58744595,29021253,29723342,249000,0.012,0.009
2018,657076,541589,59115809,29215251,29900558,0,0.011,0.009
2019,640370,530841,59439840,29382509,30057331,184000,0.011,0.009
2020,613936,607922,59719724,29546342,30173382,93000,0.01,0.01
2021,624828,586334,59660524,29203353,30457171,466000,0.01,0.01
